crop,name,symptoms,control,description,image_url
Rice,Bacterial Blight,"Water-soaked lesions on leaf edges, turning yellow and drying white. Milky bacterial ooze (droplets) may appear on lesions in the morning.","Use resistant varieties (e.g., IR64). Avoid excessive nitrogen. Apply Streptocycline (250ppm) + Copper Oxychloride.",caused by Xanthomonas oryzae pv. oryzae. One of the most destructive diseases of rice.,https://upload.wikimedia.org/wikipedia/commons/3/30/Bacterial_leaf_blight_of_rice.jpg
Rice,Rice Blast,Spindle-shaped spots with gray/white centers and reddish-brown margins on leaves. Neck rot can cause panicles to fall over.,Seed treatment with Tricyclazole. Spray Isoprothiolane or Kasugamycin. Avoid water stress.,"Caused by Magnaporthe oryzae. Can affect all parts of the plant (leaf, collar, node, neck).",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Rice_Blast_Symptoms.jpg/800px-Rice_Blast_Symptoms.jpg
Rice,Brown Spot,Oval or circular dark brown spots on leaves. Seeds may also be infected causing black discoloration.,Seed treatment with Carbendazim. Apply potash fertilizer. Spray Mancozeb or Propiconazole.,Caused by Bipolaris aryzae. associated with poor soil fertility (low silicon/potassium).,https://upload.wikimedia.org/wikipedia/commons/e/e0/Brown_spot_of_rice.jpg
Rice,Sheath Blight,"Oval or irregular greenish-gray spots on leaf sheaths, enlarging to cover the whole sheath. Snake-skin pattern.","Avoid overcrowding. Spray Hexaconazole, Validamycin, or Propiconazole.",Caused by Rhizoctonia solani. Thrives in high humidity and high nitrogen.,https://bugwoodcloud.org/images/768x512/5390076.jpg
Rice,Tungro Disease,"Stunted plants, yellow to orange-red discoloration of leaves usually starting from tips. Reduced tillering.",Control Green Leafhopper vectors using Imidacloprid or Thiamethoxam. Remove infected plants.,Viral disease transmitted by leafhoppers (Nephotettix virescens).,https://live.staticflickr.com/65535/51234567890_abc123.jpg
Rice,False Smut,"Individual grains transformed into velvety yellow-orange spore balls, later turning greenish-black.",Use disease-free seeds. Spray Copper Oxychloride or Propiconazole at booting stage.,Caused by Ustilaginoidea virens. High humidity creates favorable conditions.,https://upload.wikimedia.org/wikipedia/commons/9/9f/False_smut_on_rice.JPG
Rice,Sheath Rot,Irregular spots on the uppermost leaf sheath. Panicle emergence is incomplete or choked.,Remove weed hosts. Spray Carbendazim or Benomyl at booting stage.,Caused by Sarocladium oryzae. Often associated with pest damage (mites/stem borers).,https://live.staticflickr.com/4059/4482613661_3a466a9876_b.jpg
Rice,Stem Rot,Black lesions on the sheath near the water line. Culm weakens and lodges. Sclerotia (black bodies) visible inside stem.,Drain field. Balance nitrogen application. Burn stubble after harvest.,Caused by Sclerotium oryzae. Survives in soil as sclerotia.,https://www.agric.wa.gov.au/sites/gateway/files/Stem%20rot%20rice.jpg
Rice,Bakanae Disease,Plants are abnormally tall and thin with pale green leaves. White fungal growth may appear at base.,Seed treatment with Thiram or Carbendazim. Avoid nitrogen excess.,Caused by Gibberella fujikuroi. Seeds are the primary source of infection.,https://upload.wikimedia.org/wikipedia/commons/f/ff/Bakanae_disease.jpg
Rice,Rice Ragged Stunt,"Ragged leaves with twisted tips, vein swellings (galls), and stunted growth. Delayed flowering.",Control Brown Planthopper vectors with Buprofezin or Pymetrozine.,Viral disease transmitted by Brown Planthopper (Nilaparvata lugens).,https://knowledgebank.irri.org/images/stories/rice-ragged-stunt-symptoms.jpg
Wheat,Yellow Rust (Stripe Rust),Yellow streaks (pustules) running parallel to veins on leaf blades. 'Stripe' appearance.,"Resistant varieties (e.g., HD 2967). Spray Propiconazole or Tebuconazole.","Caused by Puccinia striiformis. Thrives in cool, moist weather.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Yellow_rust_of_wheat.jpg/640px-Yellow_rust_of_wheat.jpg
Wheat,Brown Rust (Leaf Rust),"Small, round, orange-red pustules scattered on leaves. Leaves turn brown and dry.",Grow resistant varieties. Spray Propiconazole or Triadimefon.,Caused by Puccinia triticina. The most common/widespread rust.,https://bugwoodcloud.org/images/768x512/5359050.jpg
Wheat,Black Rust (Stem Rust),Dark reddish-brown oblong pustules on stems and leaf sheaths. Ruptured epidermis gives ragged appearance.,"Eradicate alternate host (Barberry). Use resistant varieties (e.g., Sonalika).",Caused by Puccinia graminis. Can cause complete crop failure.,https://upload.wikimedia.org/wikipedia/commons/c/c5/Stem_rust_wheat.jpg
Wheat,Loose Smut,Entire ear head is replaced by black powder (spores). Only the central rachis remains.,Hot water seed treatment. Seed dressing with Carboxin or Carbendazim.,Caused by Ustilago tritici. Internally seed-borne disease.,https://upload.wikimedia.org/wikipedia/commons/8/8c/Loose_smut_wheat.jpg
Wheat,Karnal Bunt,Some grains in an ear are partially converted to black powder with a rotten fish smell (trimethylamine).,Use certified seed. Spray Propiconazole at heading stage.,Caused by Tilletia indica. Quarantine importance for exports.,https://www.aphis.usda.gov/sites/default/files/karnal-bunt-grain.jpg
Wheat,Powdery Mildew,"White cottony growth on leaves, stems, and ears. Later turns gray/brown with black specks.",Spray Wettable Sulphur or Propiconazole. Avoid dense planting.,"Caused by Blumeria graminis. Favored by cool, humid, cloudy weather.",https://bugwoodcloud.org/images/768x512/1438018.jpg
Wheat,Spot Blotch,Dark brown oval spots on leaves. Can cause severe blighting of leaves.,Seed treatment with Vitavax. Spray Propiconazole.,Caused by Bipolaris sorokiniana. Common in warmer growing areas.,https://cimmyt.org/wp-content/uploads/2018/09/Spot-Blotch.jpg
Wheat,Head Scab (Fusarium Head Blight),Bleached spikelets or entire heads. Pinkish/orange fungal growth at base of glumes.,Crop rotation with non-cereals. Spray Tebuconazole or Metconazole at flowering.,Caused by Fusarium graminearum. Produces mycotoxins (DON).,https://upload.wikimedia.org/wikipedia/commons/e/e4/Fusarium_head_blight.jpg
Wheat,Flag Smut,Long gray-black streaks on leaf blades and sheaths. Leaves twist and shred.,Seed treatment with Tebuconazole/Carboxin. Shallow sowing.,Caused by Urocystis agropyri. Soil and seed-borne.,https://bugwoodcloud.org/images/768x512/5365077.jpg
Wheat,Tan Spot,Tan oval spots with a yellow halo and a dark center on leaves.,Stubble management. Foliar fungicide application.,Caused by Pyrenophora tritici-repentis. Residue-borne.,https://cropscience.bayer.co.uk/-/media/Bayer_CropScience_UK/Crop-Guide-Images/Diseases/Tan-Spot-wheat.jpg
Corn,Turcicum Leaf Blight,"Long, cigar-shaped gray-green to brown lesions. Can kill entire leaves.",Resistant hybrids. Spray Mancozeb or Zineb.,Caused by Exserohilum turcicum. Major disease in diverse climates.,https://bugwoodcloud.org/images/768x512/1234127.jpg
Corn,Maydis Leaf Blight,"Small, oval, rectangular tan/brown lesions between veins.",Use resistant hybrids. Destroy crop residue.,Caused by Bipolaris maydis. Caused historical epidemics.,https://bugwoodcloud.org/images/768x512/5359055.jpg
Corn,Common Rust,"Small, powdery brownish-red pustules on both leaf surfaces.",Resistant hybrids. Foliar fungicides if severe in early stages.,"Caused by Puccinia sorghi. Favored by cool, moist conditions.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/large/public/common-rust-corn-1.jpg
Corn,Stalk Rot,"Premature drying, stalk breaks easily, internal pith disintegration (shredded pith), rotting root.",Balanced potash application. Avoid water stress at flowering.,Caused by Fusarium/Charcoal rot/Diplodia. Complex of pathogens.,https://cropwatch.unl.edu/images/diseases/corn/stalk_rot_fusarium_lg.jpg
Corn,Downy Mildew,"Chlorotic streaks on leaves, 'crazy top' appearance (leafy proliferation on tassel).",Seed treatment with Metalaxyl. Remove infected plants.,Caused by Peronosclerospora species. Systemic infection.,https://upload.wikimedia.org/wikipedia/commons/e/ec/Sorghum_Downy_Mildew.jpg
Corn,Charcoal Rot,Black dusting of sclerotia on pith inside lower stalk. Shredded pith.,Irrigate to avoid moisture stress. Use tolerant hybrids.,"Caused by Macrophomina phaseolina. Favored by hot, dry conditions.",https://bugwoodcloud.org/images/768x512/2192067.jpg
Corn,Banded Leaf and Sheath Blight,Large irregular bleached spots with dark brown margins on leaves and sheaths.,Strip lower leaves. Spray Validamycin or Hexaconazole.,Caused by Rhizoctonia solani. Soil-borne.,https://images.squarespace-cdn.com/content/v1/550a16fce4b07cf0f4be950d/1596727284488-8N7Z8N7Z/banded+leaf+and+sheath+blight.JPG
Corn,Common Smut,"Large white/gray galls (tumors) on ears, tassels, or stalks that burst to release black spores.",Avoid mechanical injury. Remove galls before rupture.,Caused by Ustilago maydis. Galls are edible (huitlacoche) when young.,https://upload.wikimedia.org/wikipedia/commons/2/29/Corn_smut.jpg
Corn,Gray Leaf Spot,"Rectangular, localized lesions that turn gray to tan.",Tillage to bury residue. Fungicides like Pyraclostrobin.,Caused by Cercospora zeae-maydis. Residue-borne.,https://extension.entm.purdue.edu/newsletters/pestandcrop/wp-content/uploads/sites/2/2020/07/GLS_Fig1.jpg
